,Africa/2006,Africa/2007,Africa/2008,Africa/2009,Africa/2010,Africa/2011,Africa/2012,Africa/2013,Africa/2014,Africa/2015,Africa/2016,Asia Pacific/2006,Asia Pacific/2007,Asia Pacific/2008,Asia Pacific/2009,Asia Pacific/2010,Asia Pacific/2011,Asia Pacific/2012,Asia Pacific/2013,Asia Pacific/2014,Asia Pacific/2015,Asia Pacific/2016,Australia/2006,Australia/2007,Australia/2008,Australia/2009,Australia/2010,Australia/2011,Australia/2012,Australia/2013,Australia/2014,Australia/2015,Australia/2016,Europe/2006,Europe/2007,Europe/2008,Europe/2009,Europe/2010,Europe/2011,Europe/2012,Europe/2013,Europe/2014,Europe/2015,Europe/2016,Middle East/2006,Middle East/2007,Middle East/2008,Middle East/2009,Middle East/2010,Middle East/2011,Middle East/2012,Middle East/2013,Middle East/2014,Middle East/2015,Middle East/2016,North America/2006,North America/2007,North America/2008,North America/2009,North America/2010,North America/2011,North America/2012,North America/2013,North America/2014,North America/2015,North America/2016,South America/2006,South America/2007,South America/2008,South America/2009,South America/2010,South America/2011,South America/2012,South America/2013,South America/2014,South America/2015,South America/2016
0,?,?,?,0.0,254.0,54514.0,86258.0,764.0,1780.0,176368.0,176114.0,2546.0,2546.0,3302.0,17886.0,18148.0,6128.0,16975342.0,16975342.0,16986852.0,16989150.0,16981724.0,?,?,?,?,?,?,?,?,5874.0,6128.0,6128.0,0.0,8190.0,8190.0,2046.0,4092.0,2556.0,24572.0,6368.0,9172.0,9903.0,11190,?,?,?,?,?,2288.0,2034.0,2034.0,11258.0,9964.0,2145032.0,34512.0,26580.0,24284.0,29656.0,34008.0,37080.0,59362.0,60130.0,57318.0,58340.0,60892.0,?,?,?,143854.0,209642.0,114676.0,316128.0,12282.0,8164.0,76756.0,171556.0
1,?,?,?,57778.0,73098.0,10236.0,10236.0,179178.0,116186.0,2552.0,3066.0,349094.0,443002.0,541550.0,0.0,0.0,18148.0,56762.0,245748.0,246770.0,285652.0,337318.0,?,?,?,?,?,?,?,?,23534.0,25594.0,25594.0,124342.0,123826.0,123574.0,8190.0,8190.0,2046.0,36858.0,0.0,0.0,0.0,0,?,?,?,?,?,1455896.0,1489524.0,196602.0,131830.0,30928.0,10472.0,2036.0,2544.0,2544.0,1782.0,2290.0,4336.0,20702.0,18148.0,9434.0,0.0,0.0,?,?,?,36856.0,33016.0,7924.0,114676.0,40954.0,16370.0,1022.0,4094.0
2,?,?,?,?,?,254.0,169452.0,10236.0,1022.0,1022.0,1022.0,8698.0,8698.0,8698.0,53242.0,53242.0,93172.0,762.0,27558.0,28796.0,33382.0,61422.0,?,?,?,?,?,?,?,?,2046.0,3068.0,0.0,8190.0,8190.0,8190.0,3251142.0,313190.0,8190.0,13292.0,16382.0,16382.0,16382.0,16382,?,?,?,?,?,?,?,327920.0,254.0,12280.0,124074.0,67820.0,67820.0,67820.0,92864.0,91594.0,59080.0,4082.0,14314.0,15334.0,335346.0,311788.0,?,?,?,143782.0,165296.0,4094.0,0.0,32762.0,40954.0,67260.0,77524.0
3,?,?,?,?,?,5350.0,254.0,195304.0,32762.0,4338.0,1240982.0,0.0,0.0,0.0,2046.0,2046.0,16974072.0,74874.0,3068.0,3068.0,3048.0,37706.0,?,?,?,?,?,?,?,?,0.0,510.0,3060.0,20472.0,24566.0,24566.0,8190.0,8190.0,22518.0,51950.0,36858.0,36858.0,36858.0,36858,?,?,?,?,?,?,?,3925468.0,77786.0,131830.0,30928.0,76480.0,72386.0,72132.0,68328.0,68836.0,68074.0,23508.0,245748.0,246770.0,285652.0,337318.0,?,?,?,4094.0,4094.0,4094.0,7924.0,72662.0,32762.0,11498.0,1022.0
4,?,?,?,?,?,4039948.0,4334.0,3068.0,2032.0,3068.0,4338.0,3068480.0,3199802.0,3264294.0,17106.0,19392.0,42170.0,3068.0,4572.0,67006.0,3068.0,3068.0,?,?,?,?,?,?,?,?,31156.0,0.0,0.0,87016.0,94952.0,79080.0,26612.0,22518.0,10224.0,0.0,77804.0,77804.0,78826.0,78826,?,?,?,?,?,?,?,1503852.0,95212.0,254.0,12280.0,16372.0,16372.0,8190.0,72132.0,65782.0,65782.0,68074.0,23000.0,23000.0,23254.0,3312.0,?,?,?,87598.0,162758.0,1022.0,8188.0,20476.0,8188.0,0.0,68020.0
5,?,?,?,?,?,45050.0,254.0,254.0,3068.0,128744.0,5114.0,54264.0,53242.0,53242.0,6140.0,4094.0,764.0,74476.0,64078.0,2044.0,67260.0,254.0,?,?,?,?,?,?,?,?,1270.0,32176.0,0.0,91126.0,91636.0,110060.0,5366.0,10224.0,51696.0,2554.0,59378.0,35064.0,34810.0,19450,?,?,?,?,?,?,?,64078.0,67006.0,77796.0,196854.0,17098.0,17864.0,18638.0,0.0,0.0,508.0,65782.0,0.0,9212.0,9212.0,9212.0,?,?,?,3048.0,3570.0,16380.0,4094.0,254.0,12280.0,88496.0,13022.0
6,?,?,?,?,?,73604.0,1022.0,3826.0,254.0,3068.0,2044.0,5084.0,5340.0,4322.0,224946.0,226989.0,12282.0,508.0,2808.0,5854.0,50168.0,3068.0,?,?,?,?,?,?,?,?,204016.0,5364.0,32430.0,17098.0,17864.0,18638.0,0.0,0.0,16110.0,56762.0,0.0,510.0,11256.0,11256,?,?,?,?,?,?,?,164088.0,254.0,0.0,254.0,92112.0,87200.0,92340.0,17106.0,19392.0,51898.0,0.0,68074.0,67820.0,1900544.0,254.0,?,?,?,12276.0,16370.0,49148.0,279956.0,4094.0,76756.0,20476.0,1022.0
7,?,?,?,?,?,8170.0,3844608.0,8188.0,172524.0,67260.0,144872.0,89812.0,91850.0,159432.0,1022.0,1022.0,0.0,0.0,76770.0,77024.0,2044.0,0.0,?,?,?,?,?,?,?,?,26610.0,1256386.0,3066.0,107508.0,115694.0,154580.0,181190.0,512414.0,521610.0,7896716.0,12284.0,12284.0,510.0,510,?,?,?,?,?,?,?,254.0,11684.0,136172.0,1276.0,1941206.0,1941860.0,1731100.0,28124.0,19680.0,16380.0,56762.0,1778.0,1016.0,9202.0,254.0,?,?,?,78206.0,83572.0,254.0,1022.0,0.0,4094.0,5116.0,0.0
8,?,?,?,?,?,254.0,32762.0,9212.0,2044.0,9212.0,7162.0,1022.0,254.0,254.0,0.0,1786.0,4602.0,1022.0,0.0,0.0,16002.0,1022.0,?,?,?,?,?,?,?,?,55728.0,32234.0,9206.0,4094.0,4094.0,4094.0,119528.0,115432.0,126172.0,222916.0,2554.0,2554.0,12284.0,14328,?,?,?,?,?,?,?,14478.0,254.0,67260.0,1022.0,57590.0,73974.0,74736.0,92340.0,101034.0,101282.0,16380.0,0.0,254.0,67820.0,24480.0,?,?,?,11972.0,14264.0,20466.0,20474.0,49148.0,20476.0,8182.0,1022.0
9,?,?,?,?,?,2046.0,65534.0,8444.0,4592.0,71902.0,68020.0,0.0,0.0,508.0,51344.0,58004.0,57332.0,1276.0,1022.0,84424.0,77786.0,68020.0,?,?,?,?,?,?,?,?,212978.0,26610.0,28348.0,57848.0,58102.0,90868.0,175584.0,113882.0,51166.0,1221498.0,27558.0,28796.0,2046.0,3068,?,?,?,?,?,?,?,254.0,58998.0,12318.0,1240982.0,4677618.0,4677618.0,8871920.0,18160.0,178386.0,246726.0,101282.0,27558.0,28796.0,15622.0,9202.0,?,?,?,4094.0,4094.0,4094.0,61668.0,0.0,4094.0,5605020.0,4318.0
