ts,,Africa,Asia Pacific,Australia,Europe,Middle East,North America,South America
2010,91.0,22.0,601.0,0.0,3271.0,0.0,1625.0,22.0
2011,0.0,40.0,660.0,0.0,3558.0,2.0,1698.0,82.0
2012,0.0,65.0,855.0,0.0,4123.0,2.0,1858.0,113.0
2013,0.0,103.0,1051.0,0.0,4611.0,15.0,1980.0,185.0
2014,0.0,151.0,974.0,380.0,5240.0,26.0,2197.0,492.0
2015,0.0,216.0,1189.0,543.0,5850.0,34.0,2552.0,803.0
2016,0.0,342.0,1398.0,850.0,6697.0,53.0,3144.0,1088.0
2016,0.0,370.0,1457.0,872.0,6759.0,59.0,3258.0,1140.0
2017,0.0,519.0,1794.0,1039.0,8001.0,83.0,3819.0,1463.0
2018,0.0,665.0,1876.0,1155.0,8362.0,88.0,3931.0,1760.0
2019,0.0,941.0,2213.0,1394.0,9757.0,96.0,4243.0,2231.0
