ts,,Africa,Asia Pacific,Australia,Europe,Middle East,North America,South America
2010,13.0,6.0,55.0,0.0,139.0,2.0,74.0,8.0
2011,0.0,10.0,59.0,0.0,144.0,2.0,74.0,19.0
2012,0.0,13.0,60.0,0.0,165.0,2.0,78.0,20.0
2013,0.0,16.0,72.0,0.0,167.0,6.0,83.0,26.0
2014,0.0,19.0,63.0,20.0,179.0,6.0,95.0,36.0
2015,0.0,26.0,92.0,22.0,199.0,10.0,112.0,64.0
2016,0.0,36.0,105.0,26.0,228.0,13.0,137.0,83.0
2017,0.0,45.0,112.0,29.0,236.0,13.0,149.0,69.0
2018,0.0,44.0,112.0,27.0,226.0,12.0,139.0,84.0
2019,0.0,41.0,113.0,27.0,235.0,12.0,136.0,82.0
