,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,all_reach_2006,all_reach_2007,all_reach_2008,all_reach_2009,all_reach_2010,all_reach_2011,all_reach_2012,all_reach_2013,all_reach_2014,all_reach_2015,all_reach_2016,t1_cc_reach_2006,t1_cc_reach_2007,t1_cc_reach_2008,t1_cc_reach_2009,t1_cc_reach_2010,t1_cc_reach_2011,t1_cc_reach_2012,t1_cc_reach_2013,t1_cc_reach_2014,t1_cc_reach_2015,t1_cc_reach_2016
1,927155190.0,852569411.0,1030537611.0,1163546845.0,1454735123.0,1470644804.0,1665707779.0,1488405159.0,1709514120.0,1730204631.0,1966473124.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
2,1072679497.0,989910089.0,1114593760.0,1317341018.0,1528126811.0,1757016942.0,1795604408.0,1762187597.0,1867522123.0,1912480908.0,2110161871.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
3,1118729384.0,1039966719.0,1178606082.0,1348111416.0,1570881011.0,1800378992.0,1848739168.0,1805701326.0,1898170725.0,1981695550.0,2142909789.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
4,1122810168.0,1085394479.0,1213557562.0,1364854993.0,1586871677.0,1834356708.0,1875348702.0,1838719276.0,1928241439.0,2013208958.0,2174167546.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
5,1125913782.0,1118008729.0,1223271908.0,1380056661.0,1600372693.0,1855287517.0,1898656310.0,1871117258.0,1943715197.0,2041923238.0,2192745288.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
6,1126937956.0,1121532737.0,1229420738.0,1385470873.0,1604185435.0,1869326415.0,1918796424.0,1898850296.0,1955824621.0,2063989746.0,2208288740.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
7,1127893808.0,1123313797.0,1232677598.0,1390631387.0,1607275971.0,1878686523.0,1936023114.0,1914089274.0,1962202485.0,2082156054.0,2217390172.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
8,1128653832.0,1125030237.0,1234553510.0,1395338163.0,1610336417.0,1887155617.0,1950682586.0,1922320120.0,1965776601.0,2098223652.0,2222875756.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
9,1129198820.0,1126374787.0,1236404454.0,1399364417.0,1611955597.0,1891706671.0,1954490468.0,1929533440.0,1967665228.0,2108113288.0,2228139066.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
10,1129695588.0,1127403055.0,1237631024.0,1402541337.0,1613538469.0,1895112333.0,1957712428.0,1936108426.0,1969345590.0,2116193492.0,2231572450.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
