293;0.00545187180372
6461;0.0252698322875
8075;0.00517686279035
701;0.147694187368
7018;0.0899887006863
174;0.102578442704
209;0.0582273050073
1239;0.0991704351292
2828;0.0224088766385
2914;0.0359713882466
3356;0.12622147824
3549;0.0658937476109
3561;0.0169833584561
6453;0.0308642541884
64512;2.73516756006e-06;SFIX
64514;9.93423092265e-05;TIX
64515;0.000551090526025;Equinix Ashburn
64995;0.00103674023159;LINX
64597;1.17802515876e-06;TWIX
64516;4.36366537151e-06;ESPANIX
64517;0.000224461303962;SIX
64519;0.0;TIX-LAN
64520;0.0;PTTMETRO Rio de Janeiro
64521;2.0558270048e-06;Equinix Singapore
64524;1.42656941328e-06;BiX
64525;2.66124136569e-06;JPNAP Tokyo
64598;0.0;PIX Vancouver
64527;2.03375647201e-08;LIX
64529;2.71752908986e-05;INXS
64530;5.92726347349e-05;PIPE Networks Sydney
64532;9.37967741205e-05;KleyReX
64535;4.97389330135e-05;MerieX
64536;3.97303979795e-06;WORKIX Hamburg
64538;2.6272467429e-05;JPIX
64539;5.91066739883e-09;GEIX
64540;0.0;NWIX Missoula
64996;0.0;PTTMETRO Sao Paulo
64997;7.4808300238e-05;GIGAPIX
64670;0.000193996077591;Equinix Los Angeles
64543;0.0;PIX Toronto
64739;6.78977912693e-05;NWAX
64750;0.0;GIX
64545;5.9911735755e-07;QiX 3
64547;0.0;SD-NAP
64548;0.0;BAYANTEL
64549;4.81248689624e-06;Equinix Newark
64551;6.0937178948e-08;MAE West
64552;1.02102326971e-06;UK6X
64554;0.0;PTTMETRO Brasilia
64555;1.53126051163e-06;PacificWave
64559;4.69468244302e-05;Equinix Dallas
64560;9.15512812086e-10;ENLIX
64561;1.95589989587e-05;NIX
64592;2.27153566836e-06;KINX
64602;0.0;OIX
64563;2.23723053263e-05;VIX
64564;1.08455447129e-06;APE
64571;2.88399788795e-07;NY6IX
64572;7.3547370635e-05;NYCX
64574;5.18154320318e-06;PAIX Virginia
64694;6.33257522384e-06;CIXP
64577;0.0;YRIX
64578;1.41233913696e-05;PIPE Networks Brisbane
64709;0.0;NIXI Delhi
64580;6.39601175912e-05;TorIX
64581;0.0;BDIX
64582;1.97929774968e-06;SOL-IX
64998;0.0;MAD-IX
64586;4.07411189572e-06;B-CIX
64588;2.89594369539e-07;MCIX
64590;1.80250187511e-07;Equinix Tokyo
64999;5.06141390316e-09;PTTMetro-SP
64593;6.10224505653e-06;ECIX Duesseldorf
64594;0.0;OttIX
64573;1.73880796779e-05;PARIX
64583;0.0;MAE Central
64587;3.89367030911e-07;N-IX
64562;3.69683389627e-05;PaNAP
64644;2.72374612432e-05;HKIX
64604;1.7258640847e-10;NDIX
64606;7.68046687104e-06;PAIX Seattle
64711;0.0;Lyonix
65000;3.68238389693e-09;Any2 Washington
64610;1.03301104432e-07;Netnod Sundsvall
64611;0.000490340859918;PAIX Palo Alto
64612;9.35383427539e-05;SFINX
64615;2.06987397646e-07;MXP
64618;2.34446771454e-08;PIPE Networks Canberra
64619;0.0;PTTMETRO Porto Alegre
64621;9.74506266427e-07;Manila IX
64674;4.70994835642e-06;WIX
64622;4.76807582185e-07;GN-IX
64623;1.2729102554e-05;PIPE Networks Melbourne
64624;0.0;PhibIX
64627;1.2024214261e-05;SwissIX
65001;1.27011958284e-06;FreeBiX
64628;5.59401060303e-06;PacketExchange
64629;0.0;TLLIX
64631;1.10856652184e-05;MSK-IX
64632;2.95468717761e-06;DIX-IE
64633;9.66087957084e-06;NIX CZ
64634;3.04347605478e-08;Terremark NAP de las Madrid
64558;9.44099181136e-05;NetNod Stockholm
64639;9.97729523715e-07;Equinix Sydney
64640;4.21634584131e-10;FNIX6
64641;1.05917453688e-06;TOP-IX
64642;2.56099465384e-06;FICIX
64643;7.77119672963e-09;PIX
64605;0.0;PHX-IX
64646;7.47840884208e-09;iAIX
64647;0.0;PTTMETRO Florianopolis
64650;1.1097614074e-05;INEX
64651;4.59613731308e-06;RBIEX
64652;0.0;OCIX Duesseldorf
64653;2.84067246891e-06;NaMeX
65002;1.09103041509e-07;Terremark NAP do Brazil
65003;4.38064033203e-08;Netnod Malmoe
64654;1.30596667099e-06;JPNAP Osaka
64655;0.000795810497896;AMS-IX
64656;0.0;AADS
64657;2.89832862994e-06;WAIX
64662;0.00319923123025;DE-CIX
64663;9.17164853104e-05;NL-IX
64665;1.38256453879e-05;BNIX
64666;2.77225959254e-06;STHIX
64667;1.1546898661e-06;XchangePoint London
64669;1.5078541497e-05;PAIX Atlanta
64609;3.81172018828e-06;CATNIX
64671;9.56323483935e-05;PAIX New York
64673;0.0;PTTMETRO Belo Horizonte
65004;0.0;Any2 Miami
65005;1.51409834801e-05;AtlantaIX
64677;1.06833318118e-07;BigApe
64678;1.11084725963e-06;AIX
64679;0.0;JPNAP Tokyo 2
64680;4.3326792333e-07;CIIX (formerly LAAP)
65006;0.0;VAIX
64683;1.50796570453e-05;DIX
64684;9.01503325434e-07;MAE East
64689;8.41495495036e-07;PL-IX
64687;7.60602172175e-08;PTTMETRO Curitiba
64688;0.000203182609154;Equinix Chicago
64690;1.15197775204e-06;PAIX Dallas
64722;3.08423407277e-08;ECIX Berlin
64693;0.0;HIX
64735;3.24300762853e-09;PIPE Networks Hobart
64695;6.67288947227e-07;MaNAP
64513;0.0;PIX Montreal
64697;5.50322012697e-07;IIX
64698;6.25035017191e-05;LIPEX
64699;0.0;IXTampa
64700;0.0;NWIX Helena
64546;0.0;Netnod Gothenburg
64703;5.55445253241e-06;SOX
64553;5.30286361718e-05;FreeIX
64706;0.0;MA-IX
65007;0.000171734104226;Any2 LAX and SJC
64710;4.23789784563e-07;Pouix
64607;5.10387292158e-07;SPB-IX
64713;8.08379395336e-05;LONAP
64715;0.000252995486045;Equinix San Jose
64716;9.3173765444e-06;SFMIX
64717;5.50348456562e-06;MadIX
64718;1.13927816614e-07;SIX.SK
64720;0.0;TaipeiGigaPoP
65008;0.0;PAIX Los Angeles
64725;0.0;ASIX6
64522;9.58238328653e-07;eXpress
64727;3.74037436128e-05;LAIIX
64728;6.20011403921e-07;JINX
64625;1.69568985895e-07;PIPE Networks Adelaide
64730;5.31587990365e-08;BBIX
64731;0.000237912837931;NOTA
64675;3.26797811207e-05;MIX-IT
64733;0.000260786901896;NYIIX
64734;4.65770291401e-09;TampaIX
64736;4.15768434336e-08;CABASE
65009;0.0;NGIX West
64556;0.000166985326289;XchangePoint
64740;0.0;NICE
