701;0.0704067483441
6461;0.0186986155063
174;0.121190675671
209;0.051623018872
1239;0.0568471368042
1299;0.0377333514972
1668;0.000659182177463
2828;0.0264431808507
2914;0.0351642037357
3356;0.147892363352
3549;0.0794104480217
3561;0.0111270737621
5511;0.00625392640649
6453;0.0262653462497
7018;0.0819234504507
64512;0.0;SFIX
64653;8.43958736897e-06;NaMeX
64514;2.24033915344e-06;TIX
64515;0.000797283183047;Equinix Ashburn
64516;3.57993547571e-05;ESPANIX
64852;3.1187384202e-07;SMR-IX
64517;0.000535863296263;SIX
64945;7.64555354508e-07;INEX LAN2
64519;7.77717181594e-08;TIX-LAN
64697;9.2331100578e-06;IIX
64914;1.09111986307e-06;France-IX
64521;0.000454152022144;Equinix Singapore
64522;6.77360743592e-07;eXpress
64523;4.86021004472e-08;OCIX
64524;1.44630643231e-05;BiX
64910;0.0;GigaPix OPorto
64525;2.91930385578e-05;JPNAP Tokyo
64526;7.84552653663e-07;Netnod Malmö
64527;2.78288824122e-07;LIX
64638;0.0;CBN NETWORKS
64529;4.83277122061e-05;INXS
64530;8.88210992919e-05;PIPE Networks Sydney
64531;1.91115008244e-06;RIX
64532;0.000189916168781;KleyReX
64533;2.49679268239e-07;NIXI Mumbai
64535;7.4751099225e-07;MerieX
64857;4.11380467666e-07;AAIX
64988;1.08588578169e-08;UTOPIA
64537;2.62946393685e-08;NSPIXP3
64538;6.32565898909e-05;JPIX
64539;1.42921762309e-09;GEIX
65127;2.96491360318e-07;CoreSite - Any2 Northeast
64540;0.0;NWIX Missoula
64670;0.000149913590414;Equinix Los Angeles
64590;3.84331369759e-05;Equinix Tokyo
64597;1.44076738942e-06;TWIX
64543;1.07473684506e-07;PIX Toronto
64820;6.96377267639e-05;Edge-IX
64739;9.77451308849e-05;NWAX
64709;1.507868176e-07;NIXI Delhi
64544;0.0;SISPA
64545;1.98657495822e-06;QiX 3
64702;3.93416412775e-08;LU-CIX
64547;4.58505804579e-08;SD-NAP
64549;1.10570130075e-05;Equinix Newark
64550;7.57115453288e-05;GigaPix
64731;0.000166807870534;NOTA
64551;1.56007932281e-06;MAE West
64552;1.59285905258e-07;UK6X
64924;0.0;NAP Chile
64548;2.56172606475e-08;BAYANTEL
64555;4.65115815133e-06;PacificWave
64676;2.17733656737e-05;ECIX Hamburg
64557;0.0;EuskoNIX
65113;1.50764379484e-07;CAR-IX
64559;2.17030261133e-05;Equinix Dallas
64560;1.18343104429e-07;ENLIX
64561;1.41748022605e-05;NIX
64928;3.99210075138e-07;CINX
64602;0.0;OIX
64825;0.0;Crimea-IX
65128;0.0;TIX - Tanzania Internet eXchange
64564;9.94212610965e-06;APE
64565;1.0006586671e-08;DRF IX
64566;3.26895080528e-09;Norrnod
64567;1.85330246914e-10;R_ix
64568;2.17936937495e-07;ALP-IX
65129;3.44882436432e-09;Any2 Northern California
64570;0.000167538153388;INTERLAN
64558;0.000122755738426;NetNod Stockholm
64753;7.63814048155e-08;MD-IX
64573;0.000146287071946;PARIX
64574;3.94300743611e-06;PAIX Virginia
64575;0.0;CoreSite - Any2 Miami
64694;7.65464976794e-05;CIXP
64698;4.12043317028e-05;LIPEX
64721;1.29450944949e-06;PHOpenIX
64578;1.12010837953e-05;PIPE Networks Brisbane
64579;1.22478270835e-06;ChIX
64719;6.76332084853e-05;Equinix Paris
64581;3.75408684248e-09;BDIX
64738;0.0;LGDACOM IX
64583;0.0;MAE Central
64830;4.49805386111e-07;EKT-IX
64584;9.18592695782e-09;Telx Dallas
64585;0.0;CAIX
64586;3.41634932025e-05;B-CIX
64589;3.22675796224e-06;Telx New York
64588;2.17366407532e-06;MCIX
64541;0.000234093866497;PTTMETRO São Paulo
64542;0.00044741967392;LINX Extreme LAN
64729;4.21398607395e-06;BIX.BG
64591;0.000297474333855;CoreSite - Any2 California
64592;8.60271349619e-06;KINX
64593;0.000149816169541;ECIX Duesseldorf
64594;1.4679073649e-07;OttIX
64595;5.01792992424e-07;ACTIX
64596;1.05036341299e-09;S-IX
64599;0.0;MAE-FFT
64587;6.1387325997e-05;N-IX
64601;2.88894596118e-08;PIX - Poznan
64562;0.000279262404994;PaNAP
64603;0.0;UppRIX
64553;8.45802902167e-05;FreeIX
65130;0.0;ADC-IX
64604;7.32401159685e-07;NDIX
65116;1.75373938503e-05;WORK-IX
64606;2.27942111312e-05;PAIX Seattle
64711;9.04122777624e-07;Lyonix
64982;0.0;IXNM
64563;0.000161037343583;VIX
64608;1.04711652391e-06;MyIX
64610;7.23990139158e-07;Netnod Sundsvall
64611;0.000629173330136;PAIX Palo Alto
64612;0.000116478770507;SFINX
64613;0.0;CBN
64614;9.78030757978e-09;NIX-CAT
64615;1.47530041824e-06;MXP
64616;6.34325095107e-10;StuffIX Paris
64617;0.0;NAP.EC
64646;5.36901390117e-07;iAIX
64619;3.85191518397e-08;PTTMETRO Porto Alegre
64620;1.44849929961e-05;UA-IX
64621;2.17574792523e-07;Manila IX
64888;1.12912650519e-05;KCIX Kansas City
64622;4.62399951787e-05;GN-IX
64623;1.59293652109e-06;PIPE Networks Melbourne
64944;1.3572524835e-05;INEX LAN1
64626;6.22925001768e-05;TransACT IX
64627;0.00028134680216;SwissIX
64628;8.65260407836e-05;PacketExchange
64629;4.49082991927e-07;TLLIX
64630;7.67285754458e-08;RMIX Denver
64631;0.000107497637441;MSK-IX
64632;2.10444424978e-05;DIX-IE
64633;7.57616921033e-05;NIX CZ
64834;7.13604952882e-08;WIX-NZ
64635;1.61542529943e-06;NSK-IX
64636;1.11341464226e-05;Equinix Hong Kong
64637;0.0;St-IX
64677;1.20465760862e-05;BigApe
64675;9.402661846e-05;MIX-IT
64640;1.30802357783e-08;FNIX6
64641;4.41487295877e-05;TOP-IX
64642;3.98016349214e-06;FICIX
64644;0.000148511359907;HKIX
64645;3.32089416223e-08;NAP Colombia - CCIT
64672;8.42476243708e-06;npIX
64647;0.0;PTTMETRO Florianopolis
64950;1.65018198954e-06;SMILE-LV
64648;3.8123683748e-07;VSIX
64649;0.0;EMIX
64577;3.41119880764e-08;YRIX
64651;1.57726832419e-06;RBIEX
64652;9.37426248927e-10;OCIX Duesseldorf
64775;0.0;Balcan-IX
64837;2.6002587772e-06;GR-IX
64919;0.0;QIX
64895;8.42460496271e-05;SOL-IX / SOLIX
64654;4.18575982436e-07;JPNAP Osaka
64569;2.24982299743e-09;ExWest
64554;0.0;PTTMETRO Brasilia
