3356;0.14365584054
3257;0.0272993502925
3549;0.0842757982277
6461;0.0189152465065
6762;0.0110033272784
7018;0.0783304108558
174;0.121825610655
209;0.0466750600448
701;0.057819027916
1239;0.043711893267
1299;0.033929215584
1668;0.000572996899703
2828;0.0272805290307
2914;0.0307425414083
3320;0.0185707640398
3561;0.0104225214578
5511;0.00506784738285
6453;0.0239499469233
64512;0.0;SFIX
64514;1.17951918833e-06;TIX
64515;0.00102293866799;Equinix Ashburn
64944;8.54052309325e-05;INEX LAN1
64516;9.76029052584e-05;ESPANIX
64852;8.90251909904e-08;SMR-IX
64517;0.000748246681078;SIX
64945;1.54716739406e-06;INEX LAN2
64519;4.6167421247e-08;TIX-LAN
64913;0.00295570664484;LINX Juniper LAN
64597;5.80449925142e-06;TWIX
64914;0.000185027501628;France-IX
64521;0.000469819925494;Equinix Singapore
64523;1.19074740616e-07;OCIX
64524;2.07916740158e-05;BiX
64854;2.13470987538e-08;CoreSite - Any2 Boston
64813;1.72124001312e-05;MICE
64526;1.06187828561e-06;Netnod Malmö
64527;7.3172815192e-07;LIX
64840;2.81054220278e-08;AZIX
64726;0.000295929217175;PLIX
64909;1.47289253329e-05;Equinix Seattle
64586;1.49848024025e-05;B-CIX
64529;1.66601202181e-05;INXS
64530;4.99261617491e-05;PIPE Networks Sydney
64531;2.15218111366e-06;RIX
64532;0.000126079424368;KleyReX
64533;2.77368361215e-05;NIXI Mumbai
64677;8.92013607245e-06;BigApe
64700;0.0;NWIX Helena
64739;0.000111759029718;NWAX
64856;6.08391543195e-05;Fixo
64857;1.52461290608e-07;AAIX
64648;5.99030226448e-07;VSIX
64878;4.90127179995e-06;BNIIX
64537;1.99438234767e-08;NSPIXP3
64538;9.22240759674e-05;JPIX
64746;0.0;GU-IX
64816;2.85518113719e-06;BIXc
64540;0.0;NWIX Missoula
64860;5.44674808688e-10;PIRIX
65110;0.0;GIX Gdansk
65111;0.0;Terremark - NAP de las Americas Colombia
64670;0.000188910491113;Equinix Los Angeles
64662;0.00508832079067;DE-CIX
64542;0.0006389780659;LINX Extreme LAN
64543;1.44734390595e-06;PIX Toronto
64820;5.19716725188e-05;Edge-IX
64863;0.0;COIX
64709;2.70039765345e-05;NIXI Delhi
64544;0.0;SISPA
64545;1.19554982491e-06;QiX 3
64701;7.01778077888e-05;DTEL-IX
64547;4.25920283276e-08;SD-NAP
64865;2.09999721162e-06;GTIIX
64866;5.72391318499e-09;IX Leeds
64549;1.04752430636e-05;Equinix Newark
64550;9.40935353269e-05;GigaPix
64731;0.000570587878997;NOTA
64551;4.35005642256e-08;MAE West
64552;0.0;UK6X
