3561;0.00675771708475
701;0.0489290174746
3257;0.0261377322692
6461;0.022850546703
6762;0.013924885217
7018;0.0639736648235
174;0.124664519659
209;0.0450736406577
1239;0.0233928723061
2828;0.0245616982498
2914;0.0270336718852
3320;0.0115053091105
3356;0.120759690338
3549;0.0866913020048
5511;0.0035824276222
6453;0.0197168307756
64512;0.0;SFIX
64513;0.0;PIX Montreal
64854;1.7373686628e-07;CoreSite - Any2 Boston
64515;0.00090324863109;Equinix Ashburn
64889;8.57221090256e-09;Content-IX
64516;8.58028985586e-05;ESPANIX
64852;1.57315416693e-07;SMR-IX
64517;0.000537421894237;SIX
64811;3.38510070486e-06;JXIX
64519;1.27439757706e-08;TIX-LAN
64913;0.00220085683552;LINX Juniper LAN
64597;2.89628079343e-06;TWIX
64914;5.07149726637e-05;France-IX
64812;2.41272150608e-08;MIX
64521;0.00030775856824;Equinix Singapore
64522;7.17687315839e-09;eXpress
64523;7.85760029934e-08;OCIX
64524;2.23293705813e-05;BiX
64910;0.0;GigaPix OPorto
64514;4.89378435757e-07;TIX
64525;0.000109400431718;JPNAP Tokyo
64526;1.69136286276e-06;Netnod Malmö
64527;1.87442644004e-08;LIX
64840;1.56147014349e-07;AZIX
64839;1.66982050281e-05;NASA-AIX
64909;1.46364553292e-05;Equinix Seattle
64565;1.78428708297e-05;DRF IX
64529;1.07613059144e-05;INXS
64530;7.95180414525e-05;PIPE Networks Sydney
64531;2.30274605545e-06;RIX
64532;0.000165199866701;KleyReX
64533;4.68442057706e-06;NIXI Mumbai
64822;1.11784658978e-07;JPIX OSAKA
64677;1.37077535102e-05;BigApe
64700;0.0;NWIX Helena
64735;0.0;PIPE Networks Hobart
64739;2.07185257032e-05;NWAX
64856;2.55955008779e-06;Fixo
64857;0.0;AAIX
64988;9.2045967607e-09;UTOPIA
64878;1.69882271397e-07;BNIIX
64537;2.952228923e-08;NSPIXP3
64538;9.63575514849e-05;JPIX
64539;9.87061212485e-10;GEIX
64816;7.67534187304e-09;BIXc
64540;0.0;NWIX Missoula
64860;1.72365207226e-07;PIRIX
65110;0.0;GIX Gdansk
64629;1.13858568175e-07;TLLIX
64924;8.55825125529e-07;NAP Chile
64670;0.000213607598412;Equinix Los Angeles
64748;4.30576331327e-05;Angola-IXP / ANG-IXP
64590;2.54699144914e-05;Equinix Tokyo
64543;5.93732547224e-08;PIX Toronto
64544;0.0;SISPA
