701;0.0383200554108
3257;0.0204848948186
3549;0.102294570443
174;0.122687313494
209;0.0468243245801
1239;0.0174402784713
2828;0.0232539541923
2914;0.0312248069095
3320;0.0101065220677
3356;0.0998425244552
5511;0.00257108935311
6453;0.0172498342504
7018;0.0575312596381
64517;0.000765636479672;SIX
64741;1.06581534252e-06;PTT-CPV
64519;8.39472246982e-09;TIX-LAN
64743;7.79182946568e-07;PTT-BA
64779;2.02275980834e-06;PTT-AME
64747;6.8824065525e-09;IX Australia SA
64670;0.000176425331502;Equinix Los Angeles
64748;1.12937470527e-05;Angola-IXP / ANG-IXP
64750;4.80821924502e-07;GIX
64751;0.0;MEIX
64557;0.0;EuskoNIX
64560;7.38864604381e-09;ENLIX
64567;9.25629844006e-10;R_ix
64753;4.18421100708e-10;MD-IX
64755;2.32748495893e-07;LIPTAM
64757;9.92785357221e-07;AMS-IX Caribbean
64584;1.82859707262e-07;Telx Dallas
64573;5.60243768867e-05;PARIX
64597;4.62786248347e-05;TWIX
64761;0.0;PNIX
64587;8.37963254904e-06;N-IX
64675;8.68362271093e-05;MIX-IT
64982;0.0;IXNM
64763;2.0434031784e-08;LINX Route-Server RS4
64610;6.29720373524e-07;Netnod Sundsvall
64615;0.0;MXP
64764;0.0;SIX.SK Kosice
64620;2.06280492552e-05;UA-IX
64939;0.0;PTT-LAJ
64767;0.0;TP-IX
64518;5.84865071541e-06;Telx Phoenix
64677;1.19334280681e-05;BigApe
64770;2.26409804613e-06;NetIX
64640;1.10069193676e-07;FNIX6
64788;1.06479079342e-06;Equinix Toronto
64642;6.59840745972e-06;FICIX
64983;1.87704425234e-06;MegaPort-IX-NSW
64645;1.82144216886e-07;NAP Colombia - CCIT
64772;0.0;CePIX.pl
64773;0.0;NIXI Hyderabad
64775;1.51837529916e-05;Balcan-IX
64776;3.59217740953e-06;IX Australia NSW
64777;1.42729162419e-07;PacificIX
64778;3.23092850009e-06;PTT-PR
64746;0.0;GU-IX
64780;5.5717006398e-08;Litix
64781;1.94516437807e-08;PTT-PE
64782;2.82526899486e-05;YYCIX
64783;0.000261649308963;Equinix New York
64784;4.55069224257e-05;DE-CIX Hamburg
64786;0.0;CyrusOne IX Phoenix
64634;4.44060951235e-10;Terremark NAP de las Madrid
64771;1.03254105217e-05;SGIX
64790;6.35861352537e-08;PTT-SJP
64791;1.14008703664e-06;RTIX
64794;3.38447272674e-07;PTT-SJC
64795;9.77423781081e-07;PTT-LDA
64796;2.34685062311e-10;BREM-IX
64722;1.08357032493e-05;ECIX Berlin
64693;1.29867660284e-06;HIX
64735;0.0;PIPE Networks Hobart
64697;3.95203962882e-05;IIX
64598;5.27387616927e-05;PIX Vancouver
64701;9.37526420316e-05;DTEL-IX
64799;1.72102379028e-09;WPGIX
64801;2.66336461759e-05;LIX-LV
64803;6.49608313008e-05;IX Australia WA
64713;0.000127792248494;LONAP
64804;4.66739010888e-09;IIX JI
64716;1.88792672611e-05;SFMIX
64726;0.000134702800761;PLIX
64727;4.3497431016e-05;LAIIX
64805;7.78443601631e-07;SUPRnet
64806;1.87748049849e-10;TRDIX
64807;2.05825135715e-08;KZN-IX
64808;4.33730558929e-05;REUNIX
64728;1.34445634905e-05;JINX
64809;6.77970403044e-06;CoreSite - Any2 Denver
64810;0.000856810213749;PTT-SP
64811;2.14741101297e-05;JXIX
64812;2.32131253165e-08;MIX
64521;0.000396479960001;Equinix Singapore
64813;5.08657435174e-05;MICE
64527;2.59345589272e-08;LIX
64565;1.44353059454e-05;DRF IX
64529;1.61460294094e-05;INXS
64530;0.000234607504069;PIPE Networks Sydney
64648;3.03860543037e-08;VSIX
64538;0.000121410521991;JPIX
64815;0.0;LuIXP
64816;3.15293140312e-07;BIXc
64817;2.54179653904e-07;PTT-CXJ
64543;3.47575251973e-08;PIX Toronto
64819;1.88218603963e-06;PTT-GYN
64820;5.62770551607e-05;Edge-IX
64546;2.38742014442e-06;Netnod Gothenburg
64822;3.44596185903e-07;JPIX OSAKA
64823;7.86787545569e-07;IX Australia QLD
64548;5.80267615759e-07;BAYANTEL
64559;0.000152097577603;Equinix Dallas
64938;0.0;VUIX
64825;2.25902403213e-07;Crimea-IX
64564;8.68274584535e-05;APE
64826;2.09696629347e-10;STW-IX
64572;8.43149199702e-05;NYCX
64827;3.21979846733e-07;LINX NoVA
64576;2.83518899125e-05;Equinix Zurich
64828;1.33404564326e-09;DINX
64830;1.06440215123e-07;EKT-IX
64585;0.0;CAIX
64590;4.72341584899e-05;Equinix Tokyo
64708;0.0;CNC Beijing NAP
64594;8.10376055692e-08;OttIX
64603;0.0;UppRIX
64831;3.91837613142e-05;Phoenix IX
64832;0.0;Equinix Miami
64833;3.86232031934e-09;C2IX
64631;0.000268688858065;MSK-IX
64633;0.000144041998929;NIX CZ
64834;0.000102804319729;WIX-NZ
64636;5.25839978631e-05;Equinix Hong Kong
64558;0.000129524623576;NetNod Stockholm
64646;5.9401217996e-07;iAIX
64622;2.67289768146e-05;GN-IX
64836;7.47009799641e-10;DO-IX
64651;8.69116271483e-08;RBIEX
64652;4.19232002127e-09;OCIX Duesseldorf
64837;6.34787893131e-06;GR-IX
64655;0.0034246902868;AMS-IX
64838;0.0;BIX NO
64984;7.91488176532e-08;AMS-IX New York
64839;0.0;NASA-AIX
64840;2.69893412973e-07;AZIX
64665;5.37507553286e-05;BNIX
64841;1.39858708763e-07;FR-IX
64679;4.42623496485e-08;JPNAP Tokyo 2
64843;2.3228456751e-06;PTT-DF
64691;1.76597713261e-07;NIX2
64700;0.0;NWIX Helena
64845;1.60778537412e-05;TIX - Tanzania
64846;9.81865999436e-08;ULN-IX
64607;1.41039141234e-05;SPB-IX
64712;0.000136006534729;Telx Atlanta
64848;2.93609466059e-08;PTT-NAT
64849;3.65252645303e-06;CoreSite - Any2 NorthEast
64717;2.04166121197e-05;MadIX
64522;5.90389150966e-09;eXpress
64625;8.57153802725e-06;PIPE Networks Adelaide
64734;0.0;TampaIX
64985;0.0;WE-Peer
64851;0.000423284908368;Equinix Palo Alto
64732;9.66879421175e-07;SIX SI
64512;0.0;SFIX
64516;4.23202596666e-05;ESPANIX
64852;8.14242998485e-08;SMR-IX
64870;0.0;HIX Haiti
64524;3.55506216935e-05;BiX
64854;1.30996707461e-07;CoreSite - Any2 Boston
64577;7.30614608329e-08;YRIX
64531;1.75510279629e-06;RIX
64532;0.000197622682154;KleyReX
64533;1.42897866874e-05;NIXI Mumbai
64856;1.56339136089e-05;Fixo
64857;3.09380072246e-09;AAIX
64859;7.75522389642e-05;UAE-IX
64540;0.0;NWIX Missoula
64860;1.4229022038e-07;PIRIX
64663;0.000526242811345;NL-IX
64863;0.0;COIX
64544;0.0;SISPA
64865;9.59049397649e-08;GTIIX
64866;6.33144783538e-08;IX Leeds
64867;1.25773338144e-06;CyrusOne IX Dallas
64552;2.94438659077e-08;UK6X
64868;1.92900884673e-06;KIX
64555;2.14493610057e-06;PacificWave
64869;2.5868334967e-06;PTT-SC
64986;1.28741072983e-05;NAP Africa
64561;1.28657650859e-05;NIX
64602;1.44097943021e-09;OIX
64872;6.10621713155e-06;TPIX
64873;0.0;CyrusOne IX Houston
64987;1.30326270354e-06;Netnod Malmo
64874;5.20182491231e-05;OpenIXP / NiCE
64660;2.15207793929e-05;RoNIX
64875;1.69681480361e-06;IXManchester
64596;1.98800072184e-07;S-IX
64575;1.21604404895e-06;CoreSite - Any2 Miami
64694;1.1917019865e-05;CIXP
