3257;0.0192844494599
6461;0.0241725759874
6762;0.0138843662153
701;0.0331954180526
174;0.122819133033
209;0.0502585913814
286;0.00374213643803
1239;0.0151185984766
1299;0.028776275819
2828;0.0214933982988
2914;0.0309860017697
3320;0.00924615245196
3356;0.100439020904
5511;0.00245060063364
6453;0.0166801783282
7018;0.0567027727369
12956;0.00551669217157
64517;0.00101634970698;SIX
64741;2.53093497763e-07;PTT-CPV
64519;6.04611266998e-09;TIX-LAN
64742;0.0;TTIX
64743;4.44915743957e-05;PTT-BA
64744;6.46309832343e-06;Netnod COMIX
64745;4.26826753145e-05;EuroGIX
64746;0.0;GU-IX
64747;2.05282613425e-06;IX Australia SA
64670;0.000131753293525;Equinix Los Angeles
64748;0.0;Angola-IXP / ANG-IXP
64749;2.16783081018e-06;Equinix Atlanta
64750;5.1871639643e-07;GIX
64751;0.0;MEIX
64752;0.0;CITYNETHOST
64557;0.0;EuskoNIX
64560;0.0;ENLIX
64567;5.33937431735e-09;R_ix
64753;3.62930020019e-08;MD-IX
64754;0.0;VANUATU INTERNET EXCHANGE
64755;5.02076449516e-07;LIPTAM
64756;2.66267344789e-06;AKL-IX
64757;1.67779406112e-06;AMS-IX Caribbean
64758;5.51083488427e-09;Sibir-IX
64759;2.10407250148e-08;AlbertaIX
64760;0.0;UNY-IX
64596;8.16260783866e-08;S-IX
64597;4.71416478244e-06;TWIX
64761;0.0;PNIX
64587;5.3149842887e-06;N-IX
64762;4.61234353467e-05;Megaport-IX Sydney
64675;0.00020851157256;MIX-IT
64763;2.03582239215e-08;LINX Route-Server RS4
64610;5.47223836701e-07;Netnod Sundsvall
64615;0.0;MXP
64764;0.0;SIX.SK Kosice
64765;0.0;IX Brighton
64620;6.1390160422e-05;UA-IX
64604;1.47643417087e-06;NDIX
64766;1.40371718369e-05;OmahaIX
64767;0.0;TP-IX
64768;0.0;VRZ-IX
64518;4.85445328467e-06;Telx Phoenix
64769;6.92008663334e-07;CHIX-NZ
64770;3.5506268456e-06;NetIX
64640;9.57909575158e-08;FNIX6
64771;7.24482456281e-06;SGIX
64642;3.82751706091e-06;FICIX
64645;1.6021356383e-07;NAP Colombia - CCIT
64772;0.0;CePIX.pl
64773;0.0;NIXI Hyderabad
64774;1.62539323113e-06;Megaport IX Auckland
64775;2.48460374228e-05;Balcan-IX
64776;7.7683004069e-05;IX Australia NSW
64777;3.79324619345e-07;PacificIX
64778;2.80480294435e-06;PTT-PR
64779;1.02898112798e-06;PTT-AME
64780;5.91750488036e-08;Litix
64781;2.84854201724e-07;PTT-PE
64782;2.82104293964e-05;YYCIX
64783;0.000295073264308;Equinix New York
64784;4.74144894968e-05;DE-CIX Hamburg
64785;3.41024905157e-08;Level3
64786;3.91061034709e-08;CyrusOne IX Phoenix
64787;3.32247653666e-07;TPIX-TW
64634;6.20784220291e-10;Terremark NAP de las Madrid
64788;3.90285655684e-06;Equinix Toronto
64789;0.0;WHK-IX
64790;1.98351677717e-06;PTT-SJP
64791;1.48741878082e-06;RTIX
64792;0.0;Level3 Carrier Limited
64793;4.01150336303e-05;DATAIX
64794;4.29924506124e-05;PTT-SJC
64795;3.14499607196e-06;PTT-LDA
64796;0.0;BREM-IX
64722;3.25747209723e-05;ECIX Berlin
64693;1.1361150394e-06;HIX
64735;0.0;PIPE Networks Hobart
64797;3.1520007102e-08;CABASE-LPL
64798;2.87929340904e-09;PTT-CGB
64697;6.94003581679e-05;IIX
64598;5.38651833826e-05;PIX Vancouver
64701;0.000126116271873;DTEL-IX
64799;2.19796235622e-05;WPGIX
64800;1.02100953501e-07;PTT-MGF
64801;2.56821760013e-05;LIX-LV
64802;2.57656623071e-06;VANIX
64803;6.18465969488e-05;IX Australia WA
64713;0.000175365312384;LONAP
64804;2.22242070935e-09;IIX JI
64716;4.73705132424e-05;SFMIX
64726;0.000203740657007;PLIX
64727;2.40569674435e-05;LAIIX
64805;1.07067863439e-06;SUPRnet
64806;3.03595202624e-10;TRDIX
64807;1.10789333321e-08;KZN-IX
64808;2.21514994464e-07;REUNIX
64728;1.54482675788e-05;JINX
64809;1.18686114639e-05;CoreSite - Any2 Denver
64810;0.00246463956924;PTT-SP
64811;3.73427816242e-05;JXIX
64812;2.08829702398e-07;MIX
64521;0.000458170311509;Equinix Singapore
64813;6.15312611289e-05;MICE
64527;3.55511148039e-08;LIX
64565;1.19814307252e-05;DRF IX
64529;5.22094424053e-05;INXS
64530;0.000242473842414;PIPE Networks Sydney
64814;1.62581220147e-07;RED-IX
64648;6.65800093747e-07;VSIX
64538;0.000165396857549;JPIX
64815;0.0;LuIXP
64816;2.28867953683e-07;BIXc
64817;5.6060147904e-08;PTT-CXJ
64818;5.77305382853e-09;PTT-SCA
64543;8.36120391473e-08;PIX Toronto
64819;1.4075152219e-06;PTT-GYN
64820;9.94627521319e-05;Edge-IX
64821;5.96924936451e-07;TahoeIX
